xs,ys,zs
70,270,1.1607692490588342
80,270,1.1099962633772258
90,270,1.0558830136313533
100,270,1.0000737174155885
110,270,0.9442641165824037
120,270,0.8901499529842717
130,270,0.8393754442155645
140,270,0.7934833248929627
150,270,0.7538679714447891
160,270,0.7217330346888227
170,270,0.6980548675112768
180,270,0.6835528588784108
190,270,0.6786675755668174
200,270,0.6835473757648546
210,270,0.6980439012841644
220,270,0.721716585348154
230,270,0.7538460389905643
240,270,0.7934559093251818
250,270,0.8393425455342276
260,270,0.8901115711893786
270,270,0.9442202516739544
280,270,1.0000243693935829
290,270,1.0558281824957918
300,270,1.1099359491281082
310,270,1.1607034516961603
320,270,1.2065879555832675
330,270,1.2461950843611067
340,270,1.2783211872118994
350,270,1.3019899112494318
0,280,1.3772685938042888
10,280,1.3830904558615211
20,280,1.3772740769178449
30,280,1.3599962633772258
40,280,1.3317820622784466
50,280,1.2934888080065188
60,280,1.2462800726212273
70,280,1.191590311308889
80,280,1.1310812771873864
90,280,1.0665915297785682
100,280,1.0000805713075336
110,280,0.9335693082190792
120,280,0.8690786469580015
130,280,0.8085680897494001
140,280,0.7538761961151234
150,280,0.7066647191730537
160,280,0.6683681141095084
170,280,0.6401499529842718
180,280,0.6228675701823561
190,280,0.6170460127425432
200,280,0.6228620870687999
210,280,0.6401389867571594
220,280,0.6683516647688397
230,280,0.706642786718829
240,280,0.7538487805473424
250,280,0.8085351910680632
260,280,0.8690402651631084
270,280,0.9335254433106299
280,280,1.0000312232855282
290,280,1.0665366986430067
300,280,1.1310209629382686
310,280,1.1915245139462152
320,280,1.2462087921449971
330,280,1.2934120444167325
340,280,1.331699815575104
350,280,1.3599085335603271
0,290,1.4265067649221308
10,290,1.4330880947036164
20,290,1.4265122480356869
30,290,1.4069791073648004
40,290,1.3750822467033423
50,290,1.3317908961836205
60,290,1.2784204924907498
70,290,1.216592709984619
80,290,1.148186186945071
90,290,1.0752794440984064
100,290,1.0000877298168986
110,290,0.9248957109179711
120,290,0.8519880542190471
130,290,0.7835800080924
140,290,0.7217500932643307
150,290,0.6683769480146822
160,290,0.6250822467033426
170,290,0.5931814260154271
180,290,0.5736437160832439
190,290,0.567062690919178
200,290,0.5736382329696879
210,290,0.5931704597883147
220,290,0.625065797362674
230,290,0.6683550155604574
240,290,0.7217226776965497
250,290,0.783547109411063
260,290,0.851949672424154
270,290,0.9248518460095219
280,290,1.000038381794893
290,290,1.0752246129628447
300,290,1.1481258726959531
310,290,1.2165269126219453
320,290,1.2783492120145197
330,290,1.331714132593834
340,290,1.3749999999999998
350,290,1.406891377547902
0,300,1.4627882512718555
10,300,1.469929166331136
20,300,1.4627937343854116
30,300,1.441598840596643
40,300,1.4069885505048139
50,300,1.360014540422413
60,300,1.3021041427818518
70,300,1.2350169773617714
80,300,1.1607914861304787
90,300,1.0816829962182408
100,300,1.0000951929436834
110,300,0.9185070850517061
